****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 362221 ******* 

Variable    Labels
ER67171    AMOUNT SSI INCOME-RP                    
ER67186    G25G WTR OTHER WELFARE INCOME-RP        
ER67187    AMOUNT OTHER WELFARE INCOME-RP          
ER67207    AMOUNT VA PENSION INCOME-RP             
ER67222    G40A WTR NONVA RETIREMT-RP              
ER67223    AMOUNT NONVA RETIREMENT-RP              
ER67238    G40B WTR ANNUITIES INCOME-RP            
ER67239    AMOUNT ANNUITIES INCOME-RP              
ER67254    G40C WTR OTR PENSION INCOME-RP          
ER67255    AMOUNT OTR PENSION INCOME-RP            
ER67287    G44A WTR UNEMPLOY COMP-RP               
ER67288    AMOUNT UNEMPLOY COMP-RP                 
ER67303    G44B WTR WORKERS COMP-RP                
ER67304    AMOUNT WORKERS COMP-RP                  
ER67319    G44C WTR CHILD SUPPORT INCOME-RP        
ER67320    AMOUNT CHILD SUPPORT INCOME-RP          
ER68420    H1 HEALTH STATUS-RP                     
ER69547    H1 HEALTH STATUS-SPOUSE                 
ER70879    L37 PARENTS POOR OR?--RP                
ER70882    L40 RACE OF REFERENCE PERSON-MENTION 1  
ER71426    TOTAL FAMILY INCOME-2016                
ER71528    CENSUS NEEDS STANDARD-2016              
ER71532    BEALE RURAL-URBAN CODE                  
ER71538    COMPLETED ED-RP                         
ER71542    COUPLE STATUS OF REF PERSON             
ER34501    2017 INTERVIEW NUMBER                   
ER34502    SEQUENCE NUMBER                       17
ER34503    RELATION TO REFERENCE PERSON          17
ER34516    EMPLOYMENT STATUS                     17
ER72001    RELEASE NUMBER                          
ER72002    2019 FAMILY INTERVIEW (ID) NUMBER       
ER72003    PSID STATE OF RESIDENCE CODE            
ER72017    AGE OF REFERENCE PERSON                 
ER72018    SEX OF REFERENCE PERSON                 
ER72021    # CHILDREN IN FU                        
ER72022    AGE YOUNGEST CHILD                      
ER72026    A4 TYPE DU                              
ER72030    A19 OWN/RENT OR WHAT                    
ER72101    A36 IN PUBLIC OWND PROJ?                
ER72787    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER73176    G25E WHETHER ADC/TANF INCOME-RP         
ER73177    AMOUNT ADC/TANF INCOME-RP               
ER73192    G25F WHETHER SSI INCOME-RP              
ER73194    AMOUNT SSI INCOME-RP                    
ER73209    G25G WTR OTHER WELFARE INCOME-RP        
ER73210    AMOUNT OTHER WELFARE INCOME-RP          
ER73230    AMOUNT VA PENSION INCOME-RP             
ER73245    G40A WTR NONVA RETIREMT-RP              
ER73246    AMOUNT NONVA RETIREMENT-RP              
ER73261    G40B WTR ANNUITIES INCOME-RP            
ER73262    AMOUNT ANNUITIES INCOME-RP              
ER73277    G40C WTR OTR PENSION INCOME-RP          
ER73278    AMOUNT OTR PENSION INCOME-RP            
ER73310    G44A WTR UNEMPLOY COMP-RP               
ER73311    AMOUNT UNEMPLOY COMP-RP                 
ER73326    G44B WTR WORKERS COMP-RP                
ER73327    AMOUNT WORKERS COMP-RP                  
ER73342    G44C WTR CHILD SUPPORT INCOME-RP        
ER73343    AMOUNT CHILD SUPPORT INCOME-RP          
ER74428    H1 HEALTH STATUS-RP                     
ER75555    H1 HEALTH STATUS-SPOUSE                 
ER76894    L37 PARENTS POOR OR?--RP                
ER76897    L40 RACE OF REFERENCE PERSON-MENTION 1  
ER77448    TOTAL FAMILY INCOME-2018                
ER77589    CENSUS NEEDS STANDARD-2018              
ER77599    COMPLETED ED-RP                         
ER77603    COUPLE STATUS OF REF PERSON             
ER34701    2019 INTERVIEW NUMBER                   
ER34702    SEQUENCE NUMBER                       19
ER34703    RELATION TO REFERENCE PERSON          19
ER34716    EMPLOYMENT STATUS                     19
ER78001    RELEASE NUMBER                          
ER78002    2021 FAMILY INTERVIEW (ID) NUMBER       
ER78003    PSID STATE OF RESIDENCE CODE            
ER78017    AGE OF REFERENCE PERSON                 
ER78018    SEX OF REFERENCE PERSON                 
ER78021    # CHILDREN IN FU                        
ER78022    AGE YOUNGEST CHILD                      
ER78027    A4 TYPE DU                              
ER78031    A19 OWN/RENT OR WHAT                    
ER78102    A36 IN PUBLIC OWND PROJ?                
ER78864    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER79272    G25E WHETHER ADC/TANF INCOME-RP         
ER79273    AMOUNT ADC/TANF INCOME-RP               
ER79288    G25F WHETHER SSI INCOME-RP              
ER79290    AMOUNT SSI INCOME-RP                    
ER79305    G25G WTR OTHER WELFARE INCOME-RP        
ER79306    AMOUNT OTHER WELFARE INCOME-RP          
ER79326    AMOUNT VA PENSION INCOME-RP             
ER79341    G40A WTR NONVA RETIREMT-RP              
ER79342    AMOUNT NONVA RETIREMENT-RP              
ER79357    G40B WTR ANNUITIES INCOME-RP            
ER79358    AMOUNT ANNUITIES INCOME-RP              
ER79373    G40C WTR OTR PENSION INCOME-RP          
ER79374    AMOUNT OTR PENSION INCOME-RP            
ER79406    G44A WTR UNEMPLOY COMP-RP               
ER79407    AMOUNT UNEMPLOY COMP-RP                 
ER79422    G44B WTR WORKERS COMP-RP                
ER79423    AMOUNT WORKERS COMP-RP                  
ER79444    G44C WTR CHILD SUPPORT INCOME-RP        
ER79445    AMOUNT CHILD SUPPORT INCOME-RP          
ER80550    H1 HEALTH STATUS-RP                     
ER80748    H1 HEALTH STATUS-SPOUSE                 
ER81141    L37 PARENTS POOR OR?--RP                
ER81144    L40 RACE OF REFERENCE PERSON-MENTION 1  
ER81775    TOTAL FAMILY INCOME-2020                
ER81916    CENSUS NEEDS STANDARD-2020              
ER81926    COMPLETED ED-RP                         
ER81930    COUPLE STATUS OF REF PERSON             
ER34901    2021 INTERVIEW NUMBER                   
ER34902    SEQUENCE NUMBER                       21
